p;MS;Bruxisme;;bruxomanie,clenching,grincement,grinding,serrement,usure dentaire,grince des dents, grincent des dents, dents qui grincent;nocturne,diurne,sévère|grave|marqué|important,modéré|léger|bénin;nocturne,diurne,sévère,modéré;bruxomanie,bruxomanies,clenching,grincement,grincemente,grincements,grincementes,grinding,serrement,serremente,serrements,serrementes,usure dentaire,usures dentaires,grince des dents,grinces des dents,grincent des dents,grincents des dents,dents qui grincent,dents qui grincents;nocturne|nocturnes,diurne|diurnes,sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes
v;FS;asymétrie faciale;;visage asymétrique,déviation faciale;;;visage asymétrique,visages asymétriques,déviation faciale,déviations faciales;
v;FS;déviation mandibulaire;;décalage mandibulaire,déviation de la mandibule;droit,gauche;droite,gauche;décalage mandibulaire,décalages mandibulaires,déviation de la mandibule,déviations de la mandibules;droit|droite|droits|droites,gauche|gauches
v;FS;déviation maxillaire;;décalage dentaire,déviation de la ligne médiane;droit,gauche;droite,gauche;décalage dentaire,décalages dentaires,déviation de la ligne médiane,déviations de la lignes médianes;droit|droite|droits|droites,gauche|gauches
v;FS;latérodéviation mandibulaire;;déviation mandibulaire latérale,asymétrie mandibulaire;droit,gauche;droite,gauche;déviation mandibulaire latérale,déviations mandibulaires latérales,asymétrie mandibulaire,asymétries mandibulaires;droit|droite|droits|droites,gauche|gauches
v;FS;latérodéviation maxillaire;;déviation maxillaire latérale,asymétrie maxillaire;droit,gauche;droite,gauche;déviation maxillaire latérale,déviations maxillaires latérales,asymétrie maxillaire,asymétries maxillaires;droit|droite|droits|droites,gauche|gauches
#;;;;;;;;
# ATM ET ARTICULATION;;;;;;;;
#;;;;;;;;
v;FS;ATM;;articulation temporo-mandibulaire,troubles ATM,dysfonction temporo-mandibulaire,TMJ,TMD;;;articulation temporo-mandibulaire,articulations temporo-mandibulaires,troubles ATM,troubles ATMs,dysfonction temporo-mandibulaire,dysfonctions temporo-mandibulaires,TMJ,TMJe,TMJs,TMJes,TMD,TMDe,TMDs,TMDes;
v;FS;arthrite;;inflammation articulaire,arthropathie inflammatoire;infectieux|septique|bactérien,traumatique|post-traumatique;infectieuse,traumatique;inflammation articulaire,inflammations articulaires,arthropathie inflammatoire,arthropathies inflammatoires;infectieux|infectieuse|infectieuses|septique|septiques|bactérien|bactérienne|bactériens|bactériennes,traumatique|traumatiques|post-traumatique|post-traumatiques
v;FS;arthrose;;ostéoarthrite,arthropathie dégénérative,maladie articulaire dégénérative;;;ostéoarthrite,ostéoarthrites,arthropathie dégénérative,arthropathies dégénératives,maladie articulaire dégénérative,maladies articulaires dégénératives;
v;MS;claquement articulaire;;claquement ATM,clicking;droit,gauche,léger;droit,gauche,léger;claquement ATM,claquements ATMs,clicking,clickingue,clickings,clickingues;droit|droite|droits|droites,gauche|gauches,léger|légère|légers|légères
v;MS;ressaut articulaire;;ressaut ATM,popping;droit,gauche;droit,gauche;ressaut ATM,ressauts ATMs,popping,poppingue,poppings,poppingues;droit|droite|droits|droites,gauche|gauches
v;FS;luxation;;luxation ATM,déplacement articulaire,dislocation;;;luxation ATM,luxations ATMs,déplacement articulaire,déplacements articulaires,dislocation,dislocations;
v;FS;luxation méniscale;;déplacement du ménisque,luxation discale,trouble de l'atm;réductible;réductible;déplacement du ménisque,déplacements du ménisques,luxation discale,luxations discales,trouble de l'atm,troubles de l'atms;réductible|réductibles
#;;;;;;;;
# FONCTIONS;;;;;;;;
#;;;;;;;;
v;FS;apnée du sommeil;;sleep apnea,OSA,obstructive sleep apnea,syndrome d'apnées obstructives du sommeil,SAOS,ronflement;;;sleep apnea,sleeps apneas,OSA,OSAs,obstructive sleep apnea,obstructives sleeps apneas,syndrome d'apnées obstructives du sommeil,syndromes d'apnées obstructives du sommeils,SAOS,SAOSse,SAOSses,ronflement,ronflemente,ronflements,ronflementes;
v;FS;déglutition;;avaler,swallowing,fonction de déglutition,acte de déglutition;atypique|primaire;atypique;avaler,avalère,avalers,avalères,swallowing,fonction de déglutition,fonctions de déglutitions,acte de déglutition,actes de déglutitions;atypique|atypiques|primaire|primaires
v;FS;dysfonction linguale;;langue basse,position linguale basse,trouble de la déglutition,déglutition primaire,mauvaise position linguale;;;langue basse,langues basses,position linguale basse,positions linguales basses,trouble de la déglutition,troubles de la déglutitions,déglutition primaire,déglutitions primaires,mauvaise position linguale,mauvaises positions linguales;
v;FS;interposition linguale;;langue entre les dents,tongue thrust,béance par interposition,poussée linguale;;;langue entre les dents,langues entres les dents,tongue thrust,tongues thrusts,béance par interposition,béances par interpositions,poussée linguale,poussées linguales;
v;FS;mastication;;mâcher,mastiquer,croquer,chewing,fonction masticatrice,fonction masticatoire;;;mâcher,mâchère,mâchers,mâchères,mastiquer,mastiquère,mastiquers,mastiquères,croquer,croquère,croquers,croquères,chewing,fonction masticatrice,fonctions masticatrices,fonction masticatoire,fonctions masticatoires;
v;FS;phonation;;parole,élocution,parler,speech,fonction phonatoire,articulation;;;parole,paroles,élocution,élocutions,parler,parlère,parlers,parlères,speech,speeche,speechs,speeches,fonction phonatoire,fonctions phonatoires,articulation,articulations;
v;FS;respiration buccale;;ventilation orale,bouche ouverte,mouth breathing,respirateur buccal,respiration orale,respiration par la bouche;;;ventilation orale,ventilations orales,bouche ouverte,bouches ouvertes,mouth breathing,mouths breathings,respirateur buccal,respirateurs buccaux,respiration orale,respirations orales,respiration par la bouche,respirations par la bouches;
v;FS;ventilation nasale;;respiration nasale,nasal breathing,respiration par le nez;;;respiration nasale,respirations nasales,nasal breathing,nasaux breathings,respiration par le nez,respirations par le nez;
#;;;;;;;;
# HABITUDES;;;;;;;;
#;;;;;;;;
v;FS;succion;;habitude de succion,pacifier,pouce,suce le pouce,sucer,sucotement,tétine;digital|pouce;digitale;habitude de succion,habitudes de succions,pacifier,pacifière,pacifiers,pacifières,pouce,pouces,suce le pouce,suces le pouces,sucer,sucère,sucers,sucères,sucotement,sucotemente,sucotements,sucotementes,tétine,tétines;digital|digitale|digitaux|digitales|pouce|pouces
v;FS;onychophagie;;ronger les ongles,nail biting,se ronger les ongles;;;ronger les ongles,rongers les ongles,nail biting,nails bitings,se ronger les ongles,ses rongers les ongles;
#;;;;;;;;
# PROCÉDURES ET TRAITEMENTS;;;;;;;;
#;;;;;;;;
v;MS;alignement;;redressement,correction,straightening,alignement dentaire,alignement des dents;;;redressement,redressemente,redressements,redressementes,correction,corrections,straightening,straighteningue,straightenings,straighteningues,alignement dentaire,alignements dentaires,alignement des dents,alignements des dents;
v;FS;chirurgie;;intervention,opération,surgery,chirurgie maxillaire,chirurgie mandibulaire,opération mâchoire,orthognathic surgery,chirurgie maxillo-faciale;;;intervention,interventions,opération,opérations,surgery,surgerys,chirurgie maxillaire,chirurgies maxillaires,chirurgie mandibulaire,chirurgies mandibulaires,opération mâchoire,opérations mâchoires,orthognathic surgery,orthognathics surgerys,chirurgie maxillo-faciale,chirurgies maxillo-faciales;
v;MS;détartrage;;nettoyage dentaire,prophylaxie,scaling,surfaçage;;;nettoyage dentaire,nettoyages dentaires,prophylaxie,prophylaxies,scaling,scalingue,scalings,scalingues,surfaçage,surfaçages;
v;FS;ostéotomie;;chirurgie des mâchoires,jaw surgery,chirurgie orthognathique,chirurgie bimaxillaire;;;chirurgie des mâchoires,chirurgies des mâchoires,jaw surgery,chirurgie orthognathique,chirurgies orthognathiques,chirurgie bimaxillaire,chirurgies bimaxillaires;
v;MS;stripping;;IPR,réduction interproximale,polissage interproximal,meulage,limage,réduction amélaire,slicing;;;IPR,IPRe,IPRs,IPRes,réduction interproximale,réductions interproximales,polissage interproximal,polissages interproximaux,meulage,meulages,limage,limages,réduction amélaire,réductions amélaires,slicing,slicingue,slicings,slicingues;
v;MS;traitement interceptif;;traitement précoce,early treatment,interception orthodontique;;;traitement précoce,traitements précoces,early treatment,earlys treatments,interception orthodontique,interceptions orthodontiques;
#;;;;;;;;
# MESURES CÉPHALOMÉTRIQUES;;;;;;;;
# ANB traités par angles !!!;;;;;;;;
#;;ANB;;angle ANB,relation intermaxillaire,décalage squelettique,mesure ANB,relation antéropostérieure,angle squelettique,relation maxillo-mandibulaire;;;angle ANB,relation intermaxillaire,relations intermaxillaires,décalage squelettique,décalages squelettiques,mesure ANB,mesures ANBs,relation antéropostérieure,relations antéropostérieures,angle squelettique,relation maxillo-mandibulaire,relations maxillo-mandibulaires;
#;;SNA;;angle SNA,position maxillaire,mesure SNA,position du maxillaire;;;angle SNA,position maxillaire,positions maxillaires,mesure SNA,mesures SNAs,position du maxillaire,positions dus maxillaires;
#;;SNB;;angle SNB,position mandibulaire,mesure SNB,position de la mandibule;;;angle SNB,position mandibulaire,positions mandibulaires,mesure SNB,mesures SNBs,position de la mandibule,positions des las mandibules;
#;;Wits;;appraisal de Wits,analyse de Wits,AO-BO,Wits appraisal,analyse Wits,mesure de Wits;;;appraisal de Wits,analyse de Wits,AO-BO,AO-BOs,Wits appraisal,analyse Wits,mesure de Wits;
p;FS;céphalométrie;;téléradiographie,téléradio,lateral ceph,profil,cephalo,radio de profil,télécrâne,radiographie de profil;;;téléradiographie,téléradiographies,téléradio,téléradios,lateral ceph,lateraux cephs,profil,profille,profils,profilles,cephalo,cephalos,radio de profil,radios de profils,télécrâne,télécrânes,radiographie de profil,radiographies de profils;
#;;;;;;;;
# IMAGERIE ET DIAGNOSTIC;;;;;;;;
#;;;;;;;;
v;MS;panoramique;;radio panoramique,orthopantomogramme,OPG,panorex,radio,radiographie,panoramique dentaire,radiographie panoramique;;;radio panoramique,radios panoramiques,orthopantomogramme,orthopantomogrammes,OPG,OPGue,OPGs,OPGues,panorex,panoresse,panoresses,radio,radios,radiographie,radiographies,panoramique dentaire,panoramiques dentaires,radiographie panoramique,radiographies panoramiques;
v;MS;scanner;;cone beam,CBCT,tomodensitométrie,cone beam CT,3D,imagerie 3D,scan 3D,tomographie;;;cone beam,cones beams,CBCT,CBCTe,CBCTs,CBCTes,tomodensitométrie,tomodensitométries,cone beam CT,cones beams CTs,3D,imagerie 3D,scan 3D,tomographie,tomographies;
v;MS;scanner intra-oral;;empreinte numérique,digital impression,scan numérique;;;empreinte numérique,empreintes numériques,digital impression,digitaux impressions,scan numérique,scans numériques;
v;FS;empreinte;;prise d'empreinte,moulage,impression,alginate,empreinte dentaire;;;prise d'empreinte,prises d'empreintes,moulage,moulages,impression,impressions,alginate,alginates,empreinte dentaire,empreintes dentaires;
#;;;;;;;;
# DENTS ET ARCADES;;;;;;;;
#;;;;;;;;
v;FS;arcade;;arcade dentaire,arc dentaire,dental arch;maxillaire|supérieur,mandibulaire|inférieur;maxillaire,mandibulaire;arcade dentaire,arcades dentaires,arc dentaire,arcs dentaires,dental arch,dentaux archs;maxillaire|maxillaires|supérieur|supérieure|supérieurs|supérieures,mandibulaire|mandibulaires|inférieur|inférieure|inférieurs|inférieures
v;FS;canine;;croc,cuspide,dent canine,dent de loup;inclus;incluse;croc,croque,crocs,croques,cuspide,cuspides,dent canine,dents canines,dent de loup,dents de loups;inclus|incluse|incluses
v;FS;incisive;;dent de devant,dents de devant;central,latéral;centrale,latérale;dent de devant,dents de devants,dents de devant;central|centrale|centraux|centrales,latéral|latérale|latéraux|latérales
v;FS;molaire;;grosse dent,dent du fond,sixième,douzième,molaire de six ans,molaire de douze ans;premier|première,deuxième;première,deuxième;grosse dent,grosses dents,dent du fond,dents du fonds,sixième,sixièmes,douzième,douzièmes,molaire de six ans,molaires de six ans,molaire de douze ans,molaires de douzes ans;premier|première|premiers|premières,deuxième|deuxièmes
v;FS;prémolaire;;premolaire,bicuspide,quatrième,cinquième,petite molaire;premier|première,deuxième;première,deuxième;premolaire,premolaires,bicuspide,bicuspides,quatrième,quatrièmes,cinquième,cinquièmes,petite molaire,petites molaires;premier|première|premiers|premières,deuxième|deuxièmes
#;;;;;;;;
# DENTITIONS;;;;;;;;
#;;;;;;;;
v;FS;dentition mixte;;mixed dentition,denture mixte,dentition transitionnelle;;;mixed dentition,mixeds dentitions,denture mixte,dentures mixtes,dentition transitionnelle,dentitions transitionnelles;
v;FS;dentition permanente;;dents définitives,dents d'adulte,permanent dentition,denture permanente,dentition adulte;;;dents définitives,dents d'adulte,dents d'adultes,permanent dentition,permanents dentitions,denture permanente,dentures permanentes,dentition adulte,dentitions adultes;
v;FS;dentition temporaire;;dents de lait,dents de bébé,primary dentition,deciduous,dents lactéales,dents primaires,denture temporaire;;;dents de lait,dents de laits,dents de bébé,dents de bébés,primary dentition,primarys dentitions,deciduous,deciduousse,deciduousses,dents lactéales,dents primaires,denture temporaire,dentures temporaires;
#;;;;;;;;
# DIVERS CLINIQUES;;;;;;;;
#;;;;;;;;
v;FS;croissance;;développement,grandir,growth,maturation;pic|pubertaire;pic;développement,développemente,développements,développementes,grandir,grandire,grandirs,grandires,growth,maturation,maturations;pic|pics|pubertaire|pubertaires
v;FS;DDM;;dysharmonie,discrepance,dysharmonie dentaire,dysmorphose,dysharmonie dento-maxillaire;sévère|++;sévère;dysharmonie,dysharmonies,discrepance,discrepances,dysharmonie dentaire,dysharmonies dentaires,dysmorphose,dysmorphoses,dysharmonie dento-maxillaire,dysharmonies dento-maxillaires;sévère|sévères|++|++s
v;FS;douleur;;mal,pain,souffrir,inconfort,sensibilité,douleur dentaire;;;mal,male,maux,males,pain,paine,pains,paines,souffrir,souffrire,souffrirs,souffrires,inconfort,inconforte,inconforts,inconfortes,sensibilité,sensibilitée,sensibilités,sensibilitées,douleur dentaire,douleurs dentaires;
v;FS;hygiène;;nettoyage,brossage,cleaning,hygiène bucco-dentaire,hygiène dentaire;;;nettoyage,nettoyages,brossage,brossages,cleaning,cleaningue,cleanings,cleaningues,hygiène bucco-dentaire,hygiènes bucco-dentaires,hygiène dentaire,hygiènes dentaires;
v;FS;proglissement mandibulaire;;proglissement,glissement mandibulaire,déviation mandibulaire fonctionnelle,proglissement fonctionnel;;;proglissement,proglissemente,proglissements,proglissementes,glissement mandibulaire,glissements mandibulaires,déviation mandibulaire fonctionnelle,déviations mandibulaires fonctionnelles,proglissement fonctionnel,proglissements fonctionnels;
v;MS;surplomb;;recouvrement horizontal,décalage horizontal,overjet,surjet;;;recouvrement horizontal,recouvrements horizontaux,décalage horizontal,décalages horizontaux,overjet,surjet,surjète,surjets,surjètes;
#;;;;;;;;
# AUTRES;;;;;;;;
#;;;;;;;;
v;FS;consultation;;rendez-vous,appointment,visite,consulter,examen orthodontique;;;rendez-vous,rendez-vousse,rendez-vousses,appointment,appointmente,appointments,appointmentes,visite,visites,consulter,consultère,consulters,consultères,examen orthodontique,examens orthodontiques;
v;MS;contrôle;;suivi,follow-up,monitoring,surveiller,visite de contrôle;;;suivi,suivie,suivis,suivies,follow-up,monitoring,monitoringue,monitorings,monitoringues,surveiller,surveillère,surveillers,surveillères,visite de contrôle,visites de contrôles;
v;MS;débandage;;bracket décollé,bague qui tombe,loose bracket,attache décollée;;;bracket décollé,brackets décollés,bague qui tombe,bagues qui tombes,loose bracket,looses brackets,attache décollée,attaches décollées;
v;MS;fil qui pique;;fil qui blesse,wire poking,irritation,fil saillant,fil qui dépasse;;;fil qui blesse,fils qui blesses,wire poking,irritation,irritations,fil saillant,fils saillants,fil qui dépasse,fils qui dépasses;
v;FS;urgence;;urgence orthodontique,emergency,problème,urgent,cas urgent;;;urgence orthodontique,urgences orthodontiques,emergency,emergencys,problème,problèmes,urgent,urgente,urgents,urgentes,cas urgent,cas urgents;
#;;;;;;;;
# LIGNES DOUTEUSES - À VÉRIFIER MANUELLEMENT;;;;;;;;
#;;;;;;;;
p;FS;prognathie;;avancée,en avant,projection;;;avancée,avancées,en avant,en avants,projection,projections;
p;FS;rétrognathie;;en arrière,reculée,rétrognathe,rétroposition;;;en arrière,en arrières,reculée,reculées,rétrognathe,rétrognathes,rétroposition,rétropositions;
p;FS;protrusion;;avancement excessif,projection en avant,proclusion;;;avancement excessif,avancements excessifs,projection en avant,projections en avants,proclusion,proclusions;
p;FS;rétrusion;;;;;;
t;MS;NiTi;;nitinol,nickel-titane,superélastique,fil NiTi,fil thermoactif;;;nitinol,nitinole,nitinols,nitinoles,nickel-titane,nickel-titanes,superélastique,superélastiques,fil NiTi,fils NiTis,fil thermoactif,fils thermoactifs;
t;MS;métal;;acier,steel,titanium,titane,métallique,métal inoxydable;;;acier,acière,aciers,acières,steel,steelle,steels,steelles,titanium,titaniume,titaniums,titaniumes,titane,titanes,métallique,métalliques,métal inoxydable,métaux inoxydables;
t;MS;composite;;résine composite,resin composite,restauration en composite;;;résine composite,résines composites,resin composite,resins composites,restauration en composite,restaurations en composites;
t;MS;spacing;;;;;;
################;;;;;;;;
#  WORK : utilisé pour mutualiser et servir de référence à des adjectifs donnés dans des commentaires;;;;;;;;
# ;FS;sévère;;;sévère|grave|marqué|important|majeur|complexe;;;
# ;FS;modéré;;;modéré|léger|bénin;;;
# ;;sm;;;sévère|grave|marqué|important|majeur|complexe,modéré|léger|bénin;;;
